id,yr,SummaryQA,NDVI
20003,2003,2,137
20003,2002,2,-187
20003,2007,2,-285
20003,2005,3,1173
20003,2010,0,4675
20003,2013,2,1014
20003,2012,0,4774
20003,2008,3,3942
20003,2006,2,2459
20003,2004,2,1332
20003,2002,3,241
20003,2007,2,-24
20003,2009,3,-88
20003,2013,2,135
20003,2011,2,510
20003,2005,2,-490
20003,2008,3,1328
20003,2010,3,1131
20003,2003,2,-171
20003,2006,2,910
