id,ndvi,mask,doy,year
0,0.04553811285293297,0.0,35.0,2015.0
1,0.03643669755372445,0.0,35.0,2015.0
2,0.036056702072235304,0.0,35.0,2015.0
3,0.04935581918803363,0.0,35.0,2015.0
4,0.027151441518541847,0.0,35.0,2015.0
5,0.03643669755372445,0.0,35.0,2015.0
6,0.03850126371042724,0.0,35.0,2015.0
0,0.46402121599572344,0.0,51.0,2015.0
1,0.10946776133483475,0.0,51.0,2015.0
2,0.3473987624572147,0.0,51.0,2015.0
3,0.2601195642018977,1.0,51.0,2015.0
4,-0.01585959562240046,1.0,51.0,2015.0
5,0.10946776133483475,0.0,51.0,2015.0
6,0.2565324593822967,1.0,51.0,2015.0
0,0.012769821449731782,1.0,83.0,2015.0
1,0.006558956508968229,1.0,83.0,2015.0
2,0.021127299682576033,1.0,83.0,2015.0
3,0.001178909515259009,1.0,83.0,2015.0
4,0.02153315652937362,1.0,83.0,2015.0
5,0.006558956508968229,1.0,83.0,2015.0
6,0.0069807080054812495,1.0,83.0,2015.0
0,0.24802329542727158,0.0,99.0,2015.0
1,0.2053606610675366,0.0,99.0,2015.0
2,0.32063905302138096,0.0,99.0,2015.0
3,0.32418378943940795,0.0,99.0,2015.0
4,0.2764232051082549,0.0,99.0,2015.0
5,0.2053606610675366,0.0,99.0,2015.0
6,0.3087142001452819,0.0,99.0,2015.0
0,0.35491457916230756,0.0,115.0,2015.0
1,0.374703528026305,0.0,115.0,2015.0
2,0.36023476319618497,0.0,115.0,2015.0
3,0.37158804202022383,0.0,115.0,2015.0
4,0.330503078954895,0.0,115.0,2015.0
5,0.374703528026305,0.0,115.0,2015.0
6,0.38442264722656316,0.0,115.0,2015.0
0,0.4644675927832468,0.0,131.0,2015.0
1,0.3923885653730935,0.0,131.0,2015.0
2,0.535386229845878,0.0,131.0,2015.0
3,0.38340823428848353,0.0,131.0,2015.0
4,0.34619548725056465,0.0,131.0,2015.0
5,0.3923885653730935,0.0,131.0,2015.0
6,0.40870511038879187,0.0,131.0,2015.0
0,0.868485745458632,1.0,147.0,2015.0
1,0.7909221505121754,0.0,147.0,2015.0
2,0.8683535417788465,0.0,147.0,2015.0
3,0.8000937224339107,0.0,147.0,2015.0
4,0.6465159112152297,1.0,147.0,2015.0
5,0.7909221505121754,0.0,147.0,2015.0
6,0.8133046033092877,0.0,147.0,2015.0
0,0.08836502880131664,1.0,179.0,2015.0
1,0.11557751705238728,1.0,179.0,2015.0
2,0.12744912901501965,1.0,179.0,2015.0
3,0.10842642259559551,1.0,179.0,2015.0
4,0.09532630563242844,1.0,179.0,2015.0
5,0.11557751705238728,1.0,179.0,2015.0
6,0.10456543723955605,1.0,179.0,2015.0
0,0.02393413182165368,1.0,195.0,2015.0
1,0.040360141490145406,1.0,195.0,2015.0
2,0.027639638937504853,1.0,195.0,2015.0
3,0.057415842575855455,1.0,195.0,2015.0
4,0.27371185132605136,1.0,195.0,2015.0
5,0.040360141490145406,1.0,195.0,2015.0
6,0.0655126319177486,1.0,195.0,2015.0
0,0.7400853527530035,0.0,211.0,2015.0
1,0.824286373641468,0.0,211.0,2015.0
2,0.8395860361165004,0.0,211.0,2015.0
3,0.8450002621515452,0.0,211.0,2015.0
4,0.7698187494402978,0.0,211.0,2015.0
5,0.824286373641468,0.0,211.0,2015.0
6,0.8537495490746155,0.0,211.0,2015.0
0,-0.005862983449063364,1.0,227.0,2015.0
1,-0.018410325452650957,1.0,227.0,2015.0
2,-0.011666625128942266,1.0,227.0,2015.0
3,-0.020752606918354174,1.0,227.0,2015.0
4,-0.025789880321271604,1.0,227.0,2015.0
5,-0.018410325452650957,1.0,227.0,2015.0
6,-0.0189778115670354,1.0,227.0,2015.0
0,0.8497837610216424,0.0,243.0,2015.0
1,0.8265239013634659,0.0,243.0,2015.0
2,0.8621121719551138,0.0,243.0,2015.0
3,0.8431171519021342,0.0,243.0,2015.0
4,0.7198126596071421,0.0,243.0,2015.0
